Subject,Object,Rel,Count
Absorption Coefficient,Chalcopyrite,PRO-SPL,74
Absorption Coefficient,Cubic,PRO-SPL,212
Absorption Coefficient,Hexagonal,PRO-SPL,129
Absorption Coefficient,Kesterite,PRO-SPL,47
Absorption Coefficient,Monoclinic,PRO-SPL,89
Absorption Coefficient,Orthorhombic,PRO-SPL,113
Absorption Coefficient,Perovskites,PRO-SPL,454
Absorption Coefficient,Rutile,PRO-SPL,53
Absorption Coefficient,Tetragonal,PRO-SPL,112
Absorption Coefficient,Wurtzite,PRO-SPL,70
Absorption Coefficient,Zinc Blende,PRO-SPL,40
Absorption Cross Section,Perovskites,PRO-SPL,37
Absorption Edge,Anatase,PRO-SPL,262
Absorption Edge,Cubic,PRO-SPL,179
Absorption Edge,Hexagonal,PRO-SPL,143
Absorption Edge,Hexagonal Wurtzite,PRO-SPL,66
Absorption Edge,Monoclinic,PRO-SPL,71
Absorption Edge,Orthorhombic,PRO-SPL,67
Absorption Edge,Perovskites,PRO-SPL,178
Absorption Edge,Rutile,PRO-SPL,126
Absorption Edge,Spinels,PRO-SPL,42
Absorption Edge,T,PRO-SPL,31
Absorption Edge,Tetragonal,PRO-SPL,68
Absorption Edge,Wurtzite,PRO-SPL,84
Absorption Onset,Cubic,PRO-SPL,30
Absorption Onset,Perovskites,PRO-SPL,58
Absorption Peak,Anatase,PRO-SPL,51
Absorption Peak,Cubic,PRO-SPL,102
Absorption Peak,FCC,PRO-SPL,30
Absorption Peak,Hexagonal,PRO-SPL,94
Absorption Peak,Monoclinic,PRO-SPL,32
Absorption Peak,Perovskites,PRO-SPL,51
Absorption Peak,Wurtzite,PRO-SPL,44
Absorption Spectrum,Anatase,PRO-SPL,57
Absorption Spectrum,Hexagonal,PRO-SPL,36
Absorption Spectrum,Perovskites,PRO-SPL,120
Absorption Spectrum,Rutile,PRO-SPL,31
Abstract,Cubic,PRO-SPL,42
Abstract,Hexagonal,PRO-SPL,37
Abundances,Chondrite,PRO-SPL,30
Abundances,Olivines,PRO-SPL,44
Ac,Cubic,PRO-SPL,44
Ac,Hexagonal,PRO-SPL,32
Ac,Orthorhombic,PRO-SPL,34
Ac,Perovskites,PRO-SPL,39
Accuracy,Phase,PRO-SPL,109
Accuracy,S T,PRO-SPL,34
Acidic Sites,MFI,PRO-SPL,39
Acidic Sites,Tetragonal,PRO-SPL,35
Acidity,Anatase,PRO-SPL,81
Acidity,Cubic,PRO-SPL,40
Acidity,Hexagonal,PRO-SPL,78
Acidity,Keggin,PRO-SPL,62
Acidity,MFI,PRO-SPL,67
Acidity,Monoclinic,PRO-SPL,46
Acidity,Rutile,PRO-SPL,42
Acidity,Spinels,PRO-SPL,31
Acidity,T,PRO-SPL,79
Acidity,Tetragonal,PRO-SPL,68
Acoustic Phonon,Perovskites,PRO-SPL,35
Activation,Ferritic,PRO-SPL,49
Activation,Martensitic,PRO-SPL,88
Activation Barrier,FCC,PRO-SPL,65
Activation Barrier,HCP,PRO-SPL,33
Activation Barrier,Hexagonal,PRO-SPL,32
Activation Barrier,Perovskites,PRO-SPL,34
Activation Energies,Anatase,PRO-SPL,80
Activation Energies,BCC,PRO-SPL,52
Activation Energies,Cubic,PRO-SPL,265
Activation Energies,FCC,PRO-SPL,125
Activation Energies,Face Centered Cubic,PRO-SPL,32
Activation Energies,Fluorite,PRO-SPL,41
Activation Energies,Garnet,PRO-SPL,52
Activation Energies,HCP,PRO-SPL,42
Activation Energies,Hexagonal,PRO-SPL,167
Activation Energies,Monoclinic,PRO-SPL,132
Activation Energies,Orthorhombic,PRO-SPL,148
Activation Energies,Perovskites,PRO-SPL,309
Activation Energies,Rhombohedral,PRO-SPL,72
Activation Energies,Rutile,PRO-SPL,70
Activation Energies,Spinels,PRO-SPL,81
Activation Energies,T,PRO-SPL,30
Activation Energies,Tetragonal,PRO-SPL,166
Activation Energies,β,PRO-SPL,50
Activation Energy,Abstract,PRO-SPL,86
Activation Energy,Anatase,PRO-SPL,147
Activation Energy,Apatites,PRO-SPL,43
Activation Energy,Austenite,PRO-SPL,128
Activation Energy,Austenitic,PRO-SPL,74
Activation Energy,B2,PRO-SPL,42
Activation Energy,BCC,PRO-SPL,128
Activation Energy,BSTRAct,PRO-SPL,36
Activation Energy,Body Centred Cubic,PRO-SPL,39
Activation Energy,Cooling,PRO-SPL,37
Activation Energy,Cubic,PRO-SPL,657
Activation Energy,Cubic Fluorite,PRO-SPL,40
Activation Energy,Cubic Perovskites,PRO-SPL,63
Activation Energy,Cubic Spinel,PRO-SPL,33
Activation Energy,Double Perovskite,PRO-SPL,56
Activation Energy,FCC,PRO-SPL,226
Activation Energy,Face Centered Cubic,PRO-SPL,73
Activation Energy,Fluorite,PRO-SPL,107
Activation Energy,G,PRO-SPL,39
Activation Energy,Garnet,PRO-SPL,135
Activation Energy,Graphitic,PRO-SPL,36
Activation Energy,HCP,PRO-SPL,84
Activation Energy,Heating,PRO-SPL,92
Activation Energy,Hexagonal,PRO-SPL,371
Activation Energy,Martensite,PRO-SPL,101
Activation Energy,Martensitic,PRO-SPL,72
Activation Energy,Monoclinic,PRO-SPL,306
Activation Energy,Olivines,PRO-SPL,65
Activation Energy,Orthorhombic,PRO-SPL,323
Activation Energy,PNMA,PRO-SPL,35
Activation Energy,Perovskites,PRO-SPL,724
Activation Energy,Pseudocubic,PRO-SPL,31
Activation Energy,Pyrochlore,PRO-SPL,51
Activation Energy,Rhombohedral,PRO-SPL,158
Activation Energy,Rutile,PRO-SPL,152
Activation Energy,S T,PRO-SPL,62
Activation Energy,Spinels,PRO-SPL,280
Activation Energy,T,PRO-SPL,126
Activation Energy,Tetragonal,PRO-SPL,400
Activation Energy,Triclinic,PRO-SPL,49
Activation Energy,Trigonal,PRO-SPL,42
Activation Energy,Wurtzite,PRO-SPL,43
Activation Energy,β,PRO-SPL,132
Activation Energy For,Perovskites,PRO-SPL,33
Activation Volume,BCC,PRO-SPL,37
Activation Volume,FCC,PRO-SPL,39
Active,Anatase,PRO-SPL,31
Active,Cubic,PRO-SPL,30
Active,Hexagonal,PRO-SPL,52
Active,Perovskites,PRO-SPL,70
Active,Spinels,PRO-SPL,34
Active Area,Perovskites,PRO-SPL,66
Active Sites,1T,PRO-SPL,59
Active Sites,2H,PRO-SPL,43
Active Sites,Anatase,PRO-SPL,60
Active Sites,Cubic,PRO-SPL,38
Active Sites,Graphitic,PRO-SPL,50
Active Sites,Hexagonal,PRO-SPL,72
Active Sites,Perovskites,PRO-SPL,100
Active Sites,Rutile,PRO-SPL,44
Active Sites,Spinels,PRO-SPL,82
Active Sites,T,PRO-SPL,45
Activities,Anatase,PRO-SPL,98
Activities,Cubic,PRO-SPL,59
Activities,FCC,PRO-SPL,60
Activities,Hexagonal,PRO-SPL,67
Activities,Monoclinic,PRO-SPL,35
Activities,Perovskites,PRO-SPL,134
Activities,Rutile,PRO-SPL,61
Activities,Spinels,PRO-SPL,82
Activities,T,PRO-SPL,37
Activities,Tetragonal,PRO-SPL,32
Activity,1T,PRO-SPL,43
Activity,2H,PRO-SPL,31
Activity,ACT,PRO-SPL,30
Activity,Abstract,PRO-SPL,237
Activity,Anatase,PRO-SPL,1040
Activity,B s t,PRO-SPL,32
Activity,BCC,PRO-SPL,41
Activity,BSTRAct,PRO-SPL,62
Activity,Breast,PRO-SPL,60
Activity,Brookite,PRO-SPL,57
Activity,Cubic,PRO-SPL,452
Activity,Double Perovskite,PRO-SPL,49
Activity,FCC,PRO-SPL,224
Activity,Face Centered Cubic,PRO-SPL,104
Activity,Fluorite,PRO-SPL,55
Activity,Graphitic,PRO-SPL,168
Activity,HCP,PRO-SPL,72
Activity,Hexagonal,PRO-SPL,507
Activity,Ht,PRO-SPL,31
Activity,Hydrotalcite,PRO-SPL,231
Activity,Keggin,PRO-SPL,113
Activity,Like,PRO-SPL,31
Activity,MFI,PRO-SPL,95
Activity,Monoclinic,PRO-SPL,235
Activity,Olivines,PRO-SPL,39
Activity,Orthorhombic,PRO-SPL,129
Activity,Perovskites,PRO-SPL,1038
Activity,R A C T,PRO-SPL,136
Activity,RAC,PRO-SPL,37
Activity,Rhombohedral,PRO-SPL,43
Activity,Rutile,PRO-SPL,603
Activity,S T,PRO-SPL,219
Activity,STRAC,PRO-SPL,66
Activity,Spinels,PRO-SPL,637
Activity,T,PRO-SPL,519
Activity,Tetragonal,PRO-SPL,265
Activity,Trigonal,PRO-SPL,30
Activity,Wurtzite,PRO-SPL,37
Activity,Zeolitic,PRO-SPL,41
Activity,β,PRO-SPL,41
Adakitic,Garnet,PRO-SPL,42
Adenocarcinoma,Lung,PRO-SPL,167
Adhesions,Abstract,PRO-SPL,32
Adhesions,Anatase,PRO-SPL,112
Adhesions,Austenitic,PRO-SPL,56
Adhesions,Cassie,PRO-SPL,48
Adhesions,Cubic,PRO-SPL,147
Adhesions,FCC,PRO-SPL,52
Adhesions,Hexagonal,PRO-SPL,173
Adhesions,Monoclinic,PRO-SPL,35
Adhesions,Perovskites,PRO-SPL,63
Adhesions,Rutile,PRO-SPL,92
Adhesions,S T,PRO-SPL,65
Adhesions,Spinels,PRO-SPL,59
Adhesions,T,PRO-SPL,40
Adhesions,Tetragonal,PRO-SPL,46
Adhesions,Wenzel,PRO-SPL,31
Adiabatic Shear Banding,Martensite,PRO-SPL,31
Adsorption,Anatase,PRO-SPL,70
Adsorption,Hexagonal,PRO-SPL,60
Adsorption,Rutile,PRO-SPL,36
Adsorption Ability,Anatase,PRO-SPL,34
Adsorption Behavior,Hexagonal,PRO-SPL,35
Adsorption Capacity,Abstract,PRO-SPL,64
Adsorption Capacity,Anatase,PRO-SPL,103
Adsorption Capacity,Cubic,PRO-SPL,81
Adsorption Capacity,Hexagonal,PRO-SPL,139
Adsorption Capacity,Organic,PRO-SPL,35
Adsorption Capacity,Rutile,PRO-SPL,30
Adsorption Capacity,S T,PRO-SPL,91
Adsorption Capacity,Spinels,PRO-SPL,44
Adsorption Capacity,T,PRO-SPL,131
Adsorption Capacity,Zeolitic,PRO-SPL,30
Adsorption Configuration,Anatase,PRO-SPL,43
