Subject,Object,Rel,Count
Alveolar,Nanoparticles,SPL-DSC,33
Alveolar,Surface,SPL-DSC,32
Amphiboles,Bulk,SPL-DSC,55
Amphiboles,Crystal,SPL-DSC,64
Amphiboles,Grains,SPL-DSC,47
Amphiboles,Inclusions,SPL-DSC,48
Amphiboles,Layers,SPL-DSC,38
Amphiboles,Matrix,SPL-DSC,31
Amphiboles,Phenocryst,SPL-DSC,30
Amphiboles,Porphyroblastic,SPL-DSC,32
Amphibolite,Banded,SPL-DSC,32
Amphibolite,Boudins,SPL-DSC,57
Amphibolite,Bulk,SPL-DSC,119
Amphibolite,Bulk Rocks,SPL-DSC,40
Amphibolite,Continental Crust,SPL-DSC,33
Amphibolite,Core,SPL-DSC,34
Amphibolite,Cores,SPL-DSC,31
Amphibolite,Crust,SPL-DSC,106
Amphibolite,Crystal,SPL-DSC,99
Amphibolite,Dyke,SPL-DSC,36
Amphibolite,Dykes,SPL-DSC,49
Amphibolite,Fine Grained,SPL-DSC,59
Amphibolite,Gneiss,SPL-DSC,48
Amphibolite,Gneisses,SPL-DSC,33
Amphibolite,Grains,SPL-DSC,109
Amphibolite,Inclusions,SPL-DSC,137
Amphibolite,Layered,SPL-DSC,37
Amphibolite,Layers,SPL-DSC,145
Amphibolite,Lenses,SPL-DSC,42
Amphibolite,Leucosomes,SPL-DSC,44
Amphibolite,Mantle,SPL-DSC,63
Amphibolite,Matrix,SPL-DSC,106
Amphibolite,Meta-Sedimentary,SPL-DSC,49
Amphibolite,Metapelites,SPL-DSC,43
Amphibolite,Metasediments,SPL-DSC,40
Amphibolite,Minerals,SPL-DSC,37
Amphibolite,Orthogneiss,SPL-DSC,65
Amphibolite,Paragneiss,SPL-DSC,34
Amphibolite,Porphyroblastic,SPL-DSC,140
Amphibolite,Porphyroclast,SPL-DSC,32
Amphibolite,RIMS,SPL-DSC,72
Amphibolite,Rim,SPL-DSC,52
Amphibolite,Rock,SPL-DSC,75
Amphibolite,Rocks,SPL-DSC,133
Amphibolite,Schist,SPL-DSC,75
Amphibolite,Surface,SPL-DSC,49
Amphibolite,Symplectite,SPL-DSC,90
Amphibolite,Thin Sections,SPL-DSC,36
Amphibolite,Vein,SPL-DSC,60
Amphibolite,Veins,SPL-DSC,79
Amphibolite,Whole Rocks,SPL-DSC,56
Amphibolite,Xenoliths,SPL-DSC,42
Amphibolite,Zircons,SPL-DSC,110
Anatase,1D,SPL-DSC,111
Anatase,2D,SPL-DSC,171
Anatase,3D,SPL-DSC,239
Anatase,Aerogel,SPL-DSC,88
Anatase,Aerogels,SPL-DSC,61
Anatase,Agglomerate,SPL-DSC,64
Anatase,Alloy,SPL-DSC,210
Anatase,Alloys,SPL-DSC,113
Anatase,Amorphous,SPL-DSC,1817
Anatase,Amorphous Films,SPL-DSC,53
Anatase,Array,SPL-DSC,143
Anatase,As Deposited,SPL-DSC,276
Anatase,As Fabricated,SPL-DSC,30
Anatase,As Obtained,SPL-DSC,71
Anatase,As Prepared,SPL-DSC,1230
Anatase,As Synthesized,SPL-DSC,38
Anatase,As-Anodized,SPL-DSC,33
Anatase,As-Deposited Films,SPL-DSC,113
Anatase,As-Formed,SPL-DSC,37
Anatase,As-Grown,SPL-DSC,98
Anatase,As-Received,SPL-DSC,72
Anatase,As-Spun,SPL-DSC,38
Anatase,As-Synthesized,SPL-DSC,452
Anatase,Bar,SPL-DSC,33
Anatase,Bars,SPL-DSC,45
Anatase,Bead,SPL-DSC,33
Anatase,Beads,SPL-DSC,102
Anatase,Bi-Crystalline,SPL-DSC,43
Anatase,Bilayer,SPL-DSC,107
Anatase,Buffer Layer,SPL-DSC,38
Anatase,Bulk,SPL-DSC,1063
Anatase,Cell,SPL-DSC,33
Anatase,Cells,SPL-DSC,85
Anatase,Ceramic,SPL-DSC,199
Anatase,Cluster,SPL-DSC,457
Anatase,Co-Doped,SPL-DSC,273
Anatase,Co-Doping,SPL-DSC,57
Anatase,Coated,SPL-DSC,231
Anatase,Codoped,SPL-DSC,184
Anatase,Colloid Nanoparticle,SPL-DSC,32
Anatase,Colloidal,SPL-DSC,143
Anatase,Colloidal Solution,SPL-DSC,34
Anatase,Colloidal Suspension,SPL-DSC,32
Anatase,Colloids,SPL-DSC,133
Anatase,Composite,SPL-DSC,1713
Anatase,Composite Film,SPL-DSC,165
Anatase,Composite Membrane,SPL-DSC,34
Anatase,Composite Nanofiber,SPL-DSC,54
Anatase,Composite Particle,SPL-DSC,46
Anatase,Composite Powder,SPL-DSC,30
Anatase,Core,SPL-DSC,230
Anatase,Core Shell,SPL-DSC,165
Anatase,Core Shell Nanoparticle,SPL-DSC,35
Anatase,Core Shell Nanostructure,SPL-DSC,30
Anatase,Core Shell Structures,SPL-DSC,63
Anatase,Cores,SPL-DSC,50
Anatase,Cross Section,SPL-DSC,134
Anatase,Crystal,SPL-DSC,1022
Anatase,Crystalline,SPL-DSC,1519
Anatase,Crystallite,SPL-DSC,476
Anatase,Crystallize,SPL-DSC,65
Anatase,Cubes,SPL-DSC,42
Anatase,Disk,SPL-DSC,31
Anatase,Disordered,SPL-DSC,45
Anatase,Dispersion,SPL-DSC,62
Anatase,Doped,SPL-DSC,2653
Anatase,Doped Films,SPL-DSC,50
Anatase,Doped Mesoporous,SPL-DSC,44
Anatase,Double Layered,SPL-DSC,57
Anatase,Droplets,SPL-DSC,44
Anatase,Fabric,SPL-DSC,32
Anatase,Fabrics,SPL-DSC,30
Anatase,Facetted,SPL-DSC,31
Anatase,Fiber,SPL-DSC,169
Anatase,Fibers,SPL-DSC,237
Anatase,Fibres,SPL-DSC,47
Anatase,Fibrous,SPL-DSC,50
Anatase,Film,SPL-DSC,2559
Anatase,Film Doped,SPL-DSC,32
Anatase,Film Surface,SPL-DSC,87
